,F_0,F_1,F_2,F_max,deltaF,R2_score,C_half,dFdC_half,C_lift,C_slow,deltaC
A1,5924.116934305184,9018.960334916706,5924.116934305184,9018.960334916706,3094.843400611522,0.9921816501847595,143.90083394953416,46.69321051386839,119.99,0.0,-119.99
A2,5864.904467534825,9236.605403938818,5864.904467534825,9236.605403938818,3371.700936403993,0.9940902437695106,143.80278213693305,43.58606092583179,119.99,0.0,-119.99
A3,6150.211908201025,9582.828961784278,6150.211908201025,9582.828961784278,3432.6170535832534,0.9917785608365999,140.28426055477547,28.639994487807634,119.99,0.0,-119.99
A4,5520.493371518502,12013.471541625822,21907.421845809524,26723.958475090112,21203.46510357161,0.9984875238941222,83.04998676873456,4246.616263495543,80.57,85.53,4.960000000000008
A5,5819.995688445092,10694.435579210596,22092.246659469103,27015.575653278116,21195.579964833025,0.9977422007591876,58.32609198140627,4892.974500385975,53.94,62.71,8.770000000000003
A6,5534.3449169673995,11125.100667182538,21368.63662014477,26278.477112704037,20744.132195736638,0.9968879649685782,72.45786579647455,4401.271512680588,69.83,75.09,5.260000000000005
A7,5456.059314884633,9946.183295122875,20300.72210031447,25193.48842470735,19737.42910982272,0.9985938295068948,47.37680455172147,4461.12843820022,44.64,50.12,5.479999999999997
A8,5303.168281353407,9305.66963259686,19286.889970306696,23519.32469461713,18216.156413263725,0.9981541579421449,45.70318819930591,4315.153449212122,43.22,48.19,4.969999999999999
A9,4943.043229496637,8530.011811618466,17380.010263101245,21274.31931649054,16331.276086993901,0.9984553211774707,43.176393191166085,3821.3814817870016,40.87,45.48,4.609999999999999
A10,3896.769639678071,8296.3624286082,14068.207872521694,14690.37214440588,10793.602504727809,0.999261218736832,111.18149598955158,2389.3009115880513,104.47,117.89,13.420000000000002
A11,4518.666554974537,9173.44437222801,19607.35928361594,24132.10277294932,19613.436217974784,0.9938271281377677,63.90408175823043,4427.750719084974,56.35,71.46,15.109999999999992
A12,4427.104290763539,8330.133691167723,16736.99586615105,21766.27343087781,17339.16914011427,0.9998799370587358,37.18216835271482,3623.196173059856,35.07,39.29,4.219999999999999
B1,4113.855484793309,8126.90814591446,10647.700421060012,10647.700421060012,6533.8449362667025,0.9981225265224298,119.73283098475316,1962.9636284236353,116.59,119.99,3.3999999999999915
B2,4397.750303688223,9568.79300460624,16417.61188059239,16960.767790655045,12563.017486966823,0.9991085639894163,116.24611838785637,2926.2471770483694,113.19,119.3,6.109999999999999
B3,4518.6962691905965,7377.812473979355,4518.6962691905965,7377.812473979355,2859.1162047887583,0.9891403657820856,143.7633467946429,241.78112064903146,119.99,0.0,-119.99
B4,4964.393485295829,9794.338238523362,21531.32168004499,26780.310405850327,21815.916920554497,0.9973924073002965,44.286973967483334,5059.5525520303545,41.02,47.56,6.539999999999999
B5,4918.140246911974,9239.522894929973,20861.067462585546,25254.075125118732,20335.934878206757,0.9984971712052794,41.90246673218295,5031.965174165507,38.65,45.15,6.5
B6,5054.288626312722,10544.924453386584,22778.31362993768,28837.291226884947,23783.002600572225,0.9968312813422233,48.129448849135414,5249.371865845225,44.84,51.42,6.579999999999998
B7,5540.846520625505,10237.282137824437,23083.144952649145,27787.958928191565,22247.11240756606,0.9981879014620114,46.15743982940597,5565.214521051782,43.31,49.0,5.689999999999998
B8,4936.865580034465,10396.121906509683,22381.57010123952,28572.124764325985,23635.25918429152,0.9982521942481407,46.22475429809882,5138.1324550498575,42.82,49.63,6.810000000000002
B9,5127.250474972113,10091.875531614794,21985.704931336004,27304.979939763853,22177.72946479174,0.9986529530687623,47.78916869742081,5120.511682079565,44.41,51.17,6.760000000000005
B10,3645.7276449896594,3645.7276449896594,4534.708281820459,5644.947666541232,1999.2200215515727,0.9998231881064304,17.715702319203583,211.10738678503736,0.0,39.56,39.56
B11,4928.794192390033,9511.798455350607,21042.188047730946,25566.69722540885,20637.903033018818,0.9975009360498985,62.72132145192754,4921.5236248946685,51.82,73.63,21.809999999999995
B12,5030.661362726976,10142.429349303016,22491.941115597227,27790.415231416093,22759.753868689117,0.994749509765839,54.52216650068165,5224.2918586630985,44.56,64.49,19.929999999999993
C1,3810.2014368283517,8009.899581665917,15910.549859020022,18950.322995258233,15140.12155842988,0.9987735154785476,102.21757367934055,3393.6057983753935,98.8,105.63,6.829999999999998
C2,4171.248035774822,9114.239380928093,20020.803261780984,22932.888597103713,18761.64056132889,0.9974072571701609,100.4234997601217,4642.097027171177,91.03,109.81,18.78
C3,4263.739187411127,4746.404580121234,5454.472602847573,6219.052057707902,1955.3128702967751,0.9985747999031248,49.14984495771761,127.42819207407946,31.55,66.75,35.2
C4,4657.425628527711,9093.179237349013,20743.801949291723,25335.389333864092,20677.96370533638,0.9951530991635893,43.535822615418915,5034.111278927212,40.14,46.93,6.789999999999999
C5,4799.299594903514,9469.20632034564,21866.879988074717,26665.4559884112,21866.156393507685,0.9968035376681075,42.684278177397864,5356.868553784128,39.69,45.68,5.990000000000002
C6,4905.633732984485,9633.795894193563,22441.38415588099,27205.062711415325,22299.428978430842,0.998563777316719,42.65862648241,5541.836317055903,39.29,46.03,6.740000000000002
C7,4936.817672374391,9836.59222684419,22496.99110973227,27590.912899774816,22654.095227400423,0.9988098623738029,45.57972777069206,5467.358435414073,42.63,48.53,5.899999999999999
C8,4859.397562552899,9900.474307962406,22212.85136270997,27606.147133538936,22746.749570986038,0.9984904184540353,46.7831107971827,5310.049514063897,43.54,50.02,6.480000000000004
C9,5132.700647038091,10371.883484121623,23624.477782502257,28953.380399364818,23820.679752326727,0.9986941345581862,54.07825627746405,5722.995933810894,50.58,57.58,7.0
C10,4772.555503967802,10407.35758726717,16440.410337950052,17162.845165759485,12390.289661791683,0.9956577598624955,111.3785632203109,2457.462818379142,105.0,117.76,12.760000000000005
C11,5023.04635231984,10323.771639007417,23232.92512844286,28975.894245014646,23952.84789269481,0.9984125644089042,46.243590224959604,5529.14165392696,40.64,51.84,11.200000000000003
C12,5012.234093066713,9710.883833789125,21591.775079867784,26639.028516328617,21626.794423261905,0.9988292022445455,42.47675867568719,5113.161139787072,37.78,47.18,9.399999999999999
D1,4169.014486224311,4489.2608451458345,4914.368131215565,5545.221045440565,1376.2065592162535,0.9991423213744317,43.91088934585953,69.57859520539431,28.86,58.97,30.11
D2,4070.7873488483165,6408.482657399761,4070.7873488483165,6947.793706567089,2877.006357718773,0.9964361683587994,121.10650331962914,785.4249358652079,118.16,0.0,-118.16
D3,4169.340358923478,4563.020351039648,5187.510897433655,5788.133903567247,1618.7935446437696,0.9972662470955909,50.28433876278797,113.14975314007398,31.3,69.26,37.96000000000001
D4,4388.58983465524,9010.245156354345,20284.675321664985,25163.13358401936,20774.543749364122,0.9935555143399456,48.49070288401518,4857.326617808419,44.82,52.17,7.350000000000001
D5,4657.633377322996,9039.168511338266,21012.37978042786,25381.824278245098,20724.1909009221,0.9987247527554913,56.5558824902915,5184.59519532948,53.46,59.66,6.199999999999996
D6,4476.450244802852,9170.71921778802,20814.961032023966,25662.6401159363,21186.18987113345,0.9952427330066003,51.84400234769702,5019.474991951233,48.09,55.6,7.509999999999998
D7,3920.6636453965275,8582.07875410652,18655.6498020982,23819.244713115495,19898.581067718966,0.99964705450012,49.079507993369695,4306.321400151732,45.19,52.97,7.780000000000001
D8,4760.378216162391,9546.42785114871,21759.301660282865,26569.63286310902,21809.254646946625,0.9962974669040912,57.316774072448716,5275.514378249241,53.74,60.9,7.159999999999997
D9,4116.081411435889,9466.967068618984,20845.694485729207,26126.887135049543,22010.805723613652,0.9992511142321472,61.71190735888187,4876.650714815506,57.98,65.44,7.460000000000001
D10,3476.9864540429385,3641.8812770556624,4110.926312688656,5451.588502279859,1974.6020482369208,0.9927680959090834,18.707774282080468,96.29000658361261,8.7,28.72,20.02
D11,4533.955963547018,9913.499234203893,20583.60944689468,25912.67817067263,21378.72220712561,0.9976115833766979,60.748298246038566,4413.493437169503,52.15,69.35,17.199999999999996
D12,4301.602665152052,8847.23730234398,18335.258658183553,23350.105551441346,19048.502886289294,0.9992332076103949,51.7932396527633,3943.3805845507095,43.88,59.7,15.82
E1,4460.913660577621,7318.720874711793,4460.913660577621,7318.720874711793,2857.8072141341718,0.9881348259336624,143.60060278337798,29.89960661111633,119.99,0.0,-119.99
E2,4432.591071463681,8149.511799571357,9933.04173053231,10084.144175929114,5651.553104465433,0.9953809986552438,116.9044866854772,741.6527923027999,114.41,119.4,4.990000000000009
E3,4813.111130079112,8563.558703524854,4813.111130079112,8563.558703524854,3750.447573445742,0.990732538515052,123.8912557529111,8635.91860831385,119.99,0.0,-119.99
E4,5321.969380867117,9915.56561364377,22684.33877716157,27269.977285642624,21948.007904775506,0.9978823863199716,45.342690277257525,5536.443364758546,42.53,48.16,5.6299999999999955
E5,5571.354510628421,10383.329666153933,23666.70086602744,28479.02663464406,22907.672124015637,0.9935971816059715,42.44510892382135,5751.99599450927,39.31,45.58,6.269999999999996
E6,4826.683469557518,9791.616446948525,21683.51157516477,27052.650401412364,22225.966931854848,0.9990045357861963,47.523902479861206,5094.730771205761,42.38,52.66,10.279999999999994
E7,5260.399513266187,10648.099554744964,22957.774975060427,29130.044653107365,23869.645139841177,0.9953859136200346,43.12099960477867,5295.953401986808,40.1,46.14,6.039999999999999
E8,5057.399527911217,10404.790363554168,23323.064267948055,29303.817411872227,24246.41788396101,0.9989001511840117,41.714906194003284,5559.062311883742,38.07,45.36,7.289999999999999
E9,5272.128083436829,10391.589786862569,23562.222401415376,28996.715839849425,23724.587756412595,0.9976425649042305,41.005242429760706,5691.145070995021,37.43,44.58,7.149999999999999
E10,4053.601348392318,8036.255888679656,12310.109133945794,13472.179970411016,9418.578622018698,0.9984249402164882,108.80557411157066,1758.76759774479,103.32,114.29,10.970000000000013
E11,4575.897532370196,8870.944623644178,19524.992315181873,24135.015915091994,19559.118382721797,0.9994924230826795,45.2707561352295,4580.99594721349,40.68,49.86,9.18
E12,4611.382049602361,9461.408357408758,20202.361601741144,25649.184877967004,21037.80282836464,0.9977654016177788,47.822664479649966,4553.6023764894435,42.01,53.63,11.620000000000005
F1,4815.833363177537,,,8223.120375643397,3407.2870124658602,0.988952299655853,143.9731609933744,137.48075624443678,,,
F2,4909.279130785417,8406.347590734957,4909.279130785417,8406.347590734957,3497.06845994954,0.9881336324664365,143.99903454035993,91.72170441295592,119.99,0.0,-119.99
F3,4759.963998633227,11043.899280092719,20085.030006312307,23113.305820891466,18353.34182225824,0.9996262598837165,108.63891170892629,3838.5678752814742,104.48,112.79,8.310000000000002
F4,5258.789608346586,9907.30671706855,23021.00615639567,27669.45277163268,22410.663163286095,0.9983257690410909,42.48497552102033,5694.189944524416,39.03,45.94,6.909999999999997
F5,5085.525295339299,9918.885543306838,20836.099426915844,25573.453711729537,20487.928416390238,0.9969484695754994,63.20843912670915,4709.237919428932,60.34,66.08,5.739999999999995
F6,4977.614599647286,10004.477116452043,22271.300956725605,27707.581937035324,22729.967337388036,0.9980799419048505,44.88886985055704,5286.718162218828,41.29,48.49,7.200000000000003
F7,4983.602132479044,10112.00908573562,22079.0173697721,27890.72695728945,22907.12482481041,0.9948478520660516,42.78447794180462,5149.841685820329,39.7,45.87,6.169999999999995
F8,4731.026797397831,9585.410162216333,21180.93826004463,26661.306187053735,21930.279389655905,0.9981023134006768,41.964567168864505,4978.453835245836,37.95,45.98,8.029999999999994
F9,5237.329628708999,10595.184060585296,23604.649839346665,29471.769743880774,24234.440115171776,0.9977348751270171,43.563764059549555,5605.957458331021,40.27,46.86,6.589999999999996
F10,3906.525090808105,7698.096981466677,11364.525723181388,12208.33569308075,8301.810602272644,0.9958706506499884,109.25225215601078,1483.3504713071745,103.25,115.26,12.010000000000005
F11,5027.857776705722,9962.08353049053,22335.99606394174,27458.358755887857,22430.500979182136,0.9921834003681452,52.3128938420423,5274.663903990587,42.95,61.68,18.729999999999997
F12,5084.436633049379,10832.63344677385,23428.801444310833,29435.11524744153,24350.67861439215,0.9997126873803736,55.152383343765955,5307.885078140272,47.74,62.57,14.829999999999998
G1,4120.579560219142,9233.138859974591,16659.195954645544,19088.28142738525,14967.701867166106,0.999576716369714,109.5209297729882,3159.1573825453784,105.56,113.48,7.920000000000002
G2,4213.18837143166,10098.67334488285,19212.558765011898,22964.78384590068,18751.59547446902,0.99846552028503,98.07149654141435,3879.7109818950967,94.24,101.9,7.660000000000011
G3,4541.2335120809985,10666.387764210338,19748.981476942085,22020.368994435114,17479.135482354115,0.9979144724401279,111.62191884697582,3859.6699962029397,107.36,115.89,8.530000000000001
G4,4888.895715564271,10035.528081418475,23100.42589174113,28630.737715440377,23741.841999876106,0.9987876504675731,41.56885111666966,5631.0239739544195,38.03,45.11,7.079999999999998
G5,5045.497018966516,10512.719170906194,23726.323560539982,29742.088842463465,24696.59182349695,0.9955609983970242,43.906315865230695,5683.184705137497,40.36,47.45,7.090000000000003
G6,4783.371734805818,10180.469290402674,21675.209972975226,27218.19857756413,22434.82684275831,0.9981179148620638,56.875336707572245,4934.650679892945,53.42,60.33,6.909999999999997
G7,4551.394778851109,9301.440054805662,20417.687625332273,25657.486220365445,21106.091441514334,0.9985022765845595,46.01782082692375,4775.005393170507,42.2,49.83,7.6299999999999955
G8,4581.628217904562,9465.035562364796,20377.76978447136,25538.133009215304,20956.50479131074,0.9982645900892251,52.91486261666643,4671.41073376148,48.77,57.06,8.29
G9,4949.591468019576,10115.499494061907,22452.684429962803,27982.11973555163,23032.528267532056,0.9989940484859742,48.06440638197554,5314.2492091719005,44.84,51.29,6.449999999999996
G10,2249.104409483363,2249.104409483363,2275.0030076679873,2324.659771028342,75.5553615449794,0.9887414682261617,6.233744167230296e-11,16.295346667946745,0.0,20.6,20.6
G11,2291.7610266744628,2291.7610266744628,2315.725136917099,2353.277439731944,61.51641305748126,0.9767011683815898,9.427706880922724e-19,10.731102707036799,0.0,34.87,34.87
G12,2215.0483106963034,2215.0483106963034,2241.0388886149026,2274.09046339175,59.042152695446475,0.9736555176452173,7.064536747112039,11.908331920734073,0.0,30.75,30.75
H1,3815.311765111329,8169.1112912220115,15454.529245363845,17731.43135692335,13916.119591812021,0.9993699405979832,108.2742852165287,3102.899880230761,103.55,112.99,9.439999999999998
H2,4342.565738176401,9637.763677665122,18631.917112381925,22786.62993360496,18444.06419542856,0.9993603302962364,81.8129623856461,3848.934862466121,78.58,85.04,6.460000000000008
H3,4231.25503137994,10522.801486034368,20620.742591925755,24941.94073761297,20710.68570623303,0.9988071810793894,92.9726024269007,4309.475435918298,89.4,96.54,7.140000000000001
H4,4429.535825574541,9957.368168854835,23583.846566876753,29424.166667696474,24994.630842121933,0.9984761876597509,49.65377696130696,5815.436626544593,42.01,57.3,15.29
H5,5026.131566850595,10805.707196639985,24407.709556917725,30153.718247073175,25127.58668022258,0.9983348883940878,61.043847091519226,5872.514724343326,58.02,64.07,6.04999999999999
H6,4686.475825112376,11305.371129251978,25292.306878732474,32593.634709436454,27907.15888432408,0.9991539535204319,49.92029558037456,5996.14103133245,46.8,53.04,6.240000000000002
H7,5110.443887651978,11369.833145864275,26421.758193818627,33019.16496238956,27908.72107473758,0.9994328815401946,49.89733094262995,6480.078665560156,46.16,53.64,7.480000000000004
H8,5010.055392738589,11234.21906465145,25465.929440045722,32167.053295564674,27156.997902826086,0.9995947592611932,49.68389686905504,6113.882475634147,46.1,53.27,7.170000000000002
H9,5129.547434762672,11074.813051696614,25029.07866631928,31302.015423864792,26172.46798910212,0.9991011734833812,51.32688073936016,6004.725121659681,47.87,54.78,6.910000000000004
H10,2193.018521589529,2222.278545552663,2249.05105537326,2320.120416351918,127.10189476238884,0.9959231485515966,35.20835616359939,7.353876721164828,28.24,42.17,13.930000000000003
H11,2241.9737600171757,2241.9737600171757,2272.420235284192,2312.383057642912,70.40929762573614,0.9866902771608178,12.506714920130996,9.811919078537226,0.0,33.93,33.93
H12,2198.8137932305003,2198.8137932305003,2239.5653858934165,2339.970017355169,141.15622412466882,0.9933952432177865,1.2573143666792825e-12,27.47568614357187,0.0,13.51,13.51
